"V16_flow","V11_flow","V12_flow","V16_open","V16_st","Prob"
"true","true","true","true","ok",1
"true","true","true","true","broken",0
"true","true","true","true","stuck",1
"true","true","true","true","leak",0
"true","true","true","false","ok",0
"true","true","true","false","broken",0
"true","true","true","false","stuck",1
"true","true","true","false","leak",0
"true","true","false","true","ok",1
"true","true","false","true","broken",0
"true","true","false","true","stuck",1
"true","true","false","true","leak",0
"true","true","false","false","ok",0
"true","true","false","false","broken",0
"true","true","false","false","stuck",1
"true","true","false","false","leak",0
"true","false","true","true","ok",1
"true","false","true","true","broken",0
"true","false","true","true","stuck",1
"true","false","true","true","leak",0
"true","false","true","false","ok",0
"true","false","true","false","broken",0
"true","false","true","false","stuck",1
"true","false","true","false","leak",0
"true","false","false","true","ok",0
"true","false","false","true","broken",0
"true","false","false","true","stuck",0
"true","false","false","true","leak",0
"true","false","false","false","ok",0
"true","false","false","false","broken",0
"true","false","false","false","stuck",0
"true","false","false","false","leak",0
"false","true","true","true","ok",0
"false","true","true","true","broken",1
"false","true","true","true","stuck",0
"false","true","true","true","leak",1
"false","true","true","false","ok",1
"false","true","true","false","broken",1
"false","true","true","false","stuck",0
"false","true","true","false","leak",1
"false","true","false","true","ok",0
"false","true","false","true","broken",1
"false","true","false","true","stuck",0
"false","true","false","true","leak",1
"false","true","false","false","ok",1
"false","true","false","false","broken",1
"false","true","false","false","stuck",0
"false","true","false","false","leak",1
"false","false","true","true","ok",0
"false","false","true","true","broken",1
"false","false","true","true","stuck",0
"false","false","true","true","leak",1
"false","false","true","false","ok",1
"false","false","true","false","broken",1
"false","false","true","false","stuck",0
"false","false","true","false","leak",1
"false","false","false","true","ok",1
"false","false","false","true","broken",1
"false","false","false","true","stuck",1
"false","false","false","true","leak",1
"false","false","false","false","ok",1
"false","false","false","false","broken",1
"false","false","false","false","stuck",1
"false","false","false","false","leak",1
