"Node","Parent"
"V1_flow","V1_open"
"V1_flow","V1_st"
"V2_flow","V2_open"
"V2_flow","V2_st"
"V1_leaking","V1_st"
"V2_leaking","V2_st"
"S1_detect","V1_leaking"
"S1_detect","V2_leaking"
"V5_flow","V1_flow"
"V5_flow","V5_open"
"V5_flow","V5_st"
"V6_flow","V1_flow"
"V6_flow","V6_open"
"V6_flow","V6_st"
"V7_flow","V2_flow"
"V7_flow","V7_open"
"V7_flow","V7_st"
"V8_flow","V2_flow"
"V8_flow","V8_open"
"V8_flow","V8_st"
"V5_leaking","V1_flow"
"V5_leaking","V5_st"
"V6_leaking","V1_flow"
"V6_leaking","V6_st"
"V7_leaking","V2_flow"
"V7_leaking","V7_st"
"V8_leaking","V2_flow"
"V8_leaking","V8_st"
"S2_detect","V5_leaking"
"S2_detect","V6_leaking"
"S2_detect","V7_leaking"
"S2_detect","V8_leaking"
"V13_flow","V5_flow"
"V13_flow","V6_flow"
"V13_flow","V13_open"
"V13_flow","V13_st"
"V14_flow","V7_flow"
"V14_flow","V8_flow"
"V14_flow","V14_open"
"V14_flow","V14_st"
"V13_leaking","V5_flow"
"V13_leaking","V6_flow"
"V13_leaking","V13_st"
"V14_leaking","V7_flow"
"V14_leaking","V8_flow"
"V14_leaking","V14_st"
"S3_detect","V13_leaking"
"S3_detect","V14_leaking"
"E1_thrusts","V13_flow"
"E1_thrusts","V14_flow"
